Dwell (ms),Type I block,Type II block
1.0315,21.07475,
0.5313,21.07877,
1.219,21.08614,
0.5,21.10565,
0.5,21.10839,
0.7185,21.11863,
0.7185,21.15008,
1.5467,21.15051,
0.625,21.16131,
0.5155,21.16245,
0.7187,21.16387,
0.6095,21.16797,
0.6095,21.17,
1.3435,21.17591,
0.531,21.18908,
0.8125,21.18966,
0.719,21.20137,
0.5312,21.20514,
0.9063,21.20607,
0.625,21.21398,
0.9375,21.21533,
0.7188,21.21803,
0.7187,21.21897,
0.625,21.22141,
0.5,21.22247,
0.5312,21.23338,
2.25,21.24479,
0.719,21.24967,
0.6094,21.25591,
1.125,21.26031,
0.531,21.26147,
0.8128,21.2628,
1.031,21.2704,
1.0313,21.28058,
0.625,21.28632,
0.8128,21.29193,
1.125,21.30491,
0.844,21.3148,
0.5,21.31833,
0.5,21.31926,
0.719,21.32064,
1.031,21.32092,
0.7185,21.33383,
0.625,21.33499,
0.9375,21.33552,
0.9378,21.34439,
0.5313,21.3603,
0.5,21.38128,
1.344,21.39812,
1.2188,21.3982,
1.8438,21.40626,
2.156,21.41324,
0.7187,21.41383,
1.4375,21.41758,
0.5,21.4206,
0.5315,21.42258,
1.031,21.42977,
0.5313,21.43363,
1.547,21.43936,
0.531,21.45305,
1.3436,21.45525,
0.5,21.47444,
0.5937,21.48421,
1.0312,21.49712,
1,21.50247,
0.5,21.51477,
1,21.51484,
0.719,21.52462,
0.5938,21.53164,
2.1562,21.54179,
1.125,21.5514,
0.8122,21.56071,
0.5,21.56132,
0.9215,21.56638,
0.922,21.59076,
1.344,21.59176,
0.594,21.59501,
0.5,21.59892,
0.6092,21.59937,
0.7187,21.60036,
1.6406,21.60673,
0.5,21.61785,
0.5315,21.61895,
0.8125,21.62183,
0.5312,21.62625,
0.719,21.63231,
0.8435,21.63415,
0.8125,21.64132,
1.2189,21.64624,
1.9375,21.64794,
1.0155,21.65388,
0.8125,21.66685,
0.6092,21.66706,
0.5315,21.68326,
0.9219,21.68564,
1.125,21.6861,
1.6562,21.68741,
1.4372,21.69657,
0.5,21.70598,
0.625,21.71703,
0.5313,21.72351,
0.828,21.72598,
1.0155,21.7271,
1.4378,21.73472,
0.5313,21.73523,
0.719,21.74126,
0.5312,21.76041,
0.625,21.77366,
0.5,21.77399,
0.719,21.77495,
1.0315,21.77805,
3.281,21.78069,
1.3437,21.78517,
0.5156,21.78668,
1.1405,21.78802,
0.625,21.78836,
0.625,21.79365,
0.5,21.7962,
0.5315,21.81625,
0.5935,21.81815,
0.9217,21.82164,
0.5,21.82208,
0.719,21.82647,
0.625,21.82827,
1.0313,21.84314,
1.75,21.85242,
0.7187,21.86007,
0.5155,21.86799,
0.9062,21.86982,
0.5,21.90244,
1.125,21.90449,
2.4531,21.9154,
0.625,21.92666,
0.8125,21.92686,
0.5935,21.92994,
1.219,21.93123,
0.9378,21.93833,
1.7345,21.94156,
1.0157,21.9421,
1.5313,21.94525,
0.9372,21.94873,
1.0315,21.95597,
0.625,21.95655,
0.922,21.97767,
0.5,21.97977,
0.7185,21.98365,
1.8439,21.99227,
1.0312,21.9924,
1.75,21.99453,
1.0315,22.00354,
0.8128,22.00446,
1.4375,22.00464,
1.5465,22.01072,
1.328,22.01265,
0.7185,22.02285,
1.7341,22.02783,
2.25,22.03768,
0.5155,22.05403,
2.6562,22.06336,
0.9215,22.08564,
0.7185,22.0887,
0.6095,22.09391,
0.922,22.09615,
1.031,22.11168,
1.125,22.11921,
0.6091,22.12728,
1.0315,22.12923,
1.3436,22.14264,
2.672,22.14924,
0.5156,22.15667,
1.219,22.17513,
0.625,22.1759,
2.4533,22.18112,
0.7185,22.18883,
1.219,22.20178,
0.7188,22.20235,
2.75,22.20833,
1.125,22.20895,
0.625,22.21102,
0.9375,22.22184,
1.328,22.23369,
2.0625,22.23541,
0.625,22.24723,
1.2345,22.2486,
4.6095,22.24874,
2.047,22.25093,
1.031,22.25324,
1.9372,22.25513,
0.8128,22.26321,
0.594,22.27046,
0.6092,22.27967,
2.156,22.29094,
0.531,22.29242,
1.547,22.29319,
1.3285,22.29609,
1.3435,22.29639,
0.625,22.30727,
0.625,22.30829,
2.25,22.30956,
1.6409,22.30973,
0.7188,22.31107,
0.625,22.31943,
0.5,22.32567,
0.5312,22.32618,
1.0315,22.32697,
0.8125,22.32874,
0.5935,22.33377,
0.5938,22.33426,
1.2343,22.33491,
1.125,22.34189,
3.5937,22.35141,
0.5158,22.35266,
0.625,22.35602,
0.9219,22.35621,
2.9685,22.35854,
0.5,22.35968,
0.828,22.37264,
0.625,22.37498,
2.7655,22.37574,
0.5,22.38237,
0.7185,22.38515,
1.2345,22.39323,
1.844,22.39421,
1.6405,22.39467,
0.5312,22.3947,
0.6875,22.40866,
1.3122,22.40998,
0.5,22.41179,
1.3437,22.42967,
0.625,22.43031,
0.8125,22.44402,
0.5,22.44937,
1.4372,22.45034,
1.328,22.46644,
0.5,22.47025,
1.3281,22.47387,
0.7187,22.47814,
1.8435,22.48105,
0.5,22.48317,
0.5,22.48444,
0.5155,22.50093,
2.0469,22.50415,
0.5157,22.51664,
0.5,22.52437,
0.8125,22.53744,
2.047,22.53757,
1.125,22.5405,
0.922,22.54737,
0.5935,22.54869,
0.8285,22.54888,
1.3281,22.55003,
0.9219,22.56645,
1.328,22.57196,
1.7345,22.58146,
0.922,22.58602,
0.719,22.58872,
1.0315,22.5937,
0.906,22.5971,
0.5,22.60029,
1.25,22.61121,
0.625,22.61588,
0.8283,22.61842,
