i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
651 0 1.45902 -8.38643
652 0 0.21606 -2.3566
653 0 0.28989 0.53273
654 0 0.08 1.76703
655 0 0.25623 4.42074
656 0 0.24584 6.4832
657 0 0.16624 -0.53015
658 0 0.376 -3.08008
659 0 0.70528 -8.13541
660 0 0.70724 8.13181
661 0 0.0373 -2.70475
662 0 0.34757 2.27141
663 0 3.36595 -1.89134
664 0 3.36595 1.89134
665 0 0.04368 3.85472
666 0 0.34983 0.51032
667 0 0.68274 7.99511
668 0 0.63113 8.00304
669 0 0.03564 -5.64293
670 0 0.03568 -3.97868
671 0 0.27488 -3.23793
672 0 0.16306 -7.72537
673 0 0.16306 7.72537
674 0 3.88853 -7.221
675 0 3.88853 7.221
676 0 0.10837 3.23201
677 0 0.25283 0.75241
678 0 2.38509 8.43136
679 0 2.38508 -8.43134
680 0 0.35007 3.44295
681 0 0.35571 3.50088
682 0 0.08003 -5.08991
683 0 3.89307 -4.85009
684 0 3.89307 4.85009
685 0 3.88434 6.41772
686 0 3.88433 -6.41772
687 0 0.07849 -5.03075
688 0 0.16741 -3.45167
689 0 0.17687 2.38869
690 0 0.14554 -8.05377
691 0 0.14554 8.05377
692 0 3.8846 5.65601
693 0 3.88459 -5.65601
694 0 0.06847 -3.79449
695 0 2.40025 -8.14453
696 0 2.40021 8.14454
697 0 0.19647 1.69022
698 0 0.21213 1.75292
699 0 0.22227 -3.46608
700 0 3.01761 -8.10463
701 0 3.01766 8.10471
702 0 0.20884 -3.74864
703 0 0.59075 -8.22584
704 0 0.59023 8.22713
705 0 0.46058 -7.85292
706 0 0.24162 1.59141
707 0 2.81632 8.19706
708 0 2.81626 -8.19694
709 0 0.20863 0.86225
710 0 0.40096 -0.93851
711 0 0.15581 0.82834
712 0 0.4116 7.84647
713 0 0.40562 -7.98003
714 0 0.4053 7.98806
715 0 0.0766 -0.27541
716 0 0.03417 1.02537
717 0 2.98993 -8.28617
718 0 2.98994 8.2862
719 0 0.07584 1.06611
720 0 3.89118 4.07046
721 0 3.89118 -4.07046
722 0 0.03699 -3.21605
723 0 0.36254 2.75903
724 0 0.06005 -3.27878
725 0 0.06054 -2.76724
726 0 0.33785 -0.84145
727 0 0.29801 2.99744
728 0 0.16202 -0.82509
729 0 0.22374 -0.85332
730 0 0.21328 -8.92268
