i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
451 0 3.4e-11 -2.459e-09
452 0 1.9e-10 -2.86e-10
453 0 3.59e-10 -2.565e-09
454 0 7.7e-11 7.465e-09
455 0 7.7e-11 -7.465e-09
456 0 1.78e-10 -8.5e-11
457 0 7.7e-11 3.018e-09
458 0 3.5e-10 3.623e-09
459 0 1.11e-10 7.21e-10
460 0 7.6e-11 1.875e-09
461 0 2.15e-10 6.533e-09
462 0 2.16e-10 -3.6e-09
463 0 2.19e-10 4.48e-09
464 0 2.19e-10 6.016e-09
465 0 2.17e-10 -6.532e-09
466 0 2.43e-10 -1.623e-09
467 0 3.44e-10 -2.061e-09
468 0 4.04e-10 3.623e-09
469 0 3.5e-11 7.422e-09
470 0 3.5e-11 -7.422e-09
471 0 3.11e-10 2.211e-09
472 0 3.35e-10 -4.64e-10
473 0 3.55e-10 7.973e-09
474 0 3.55e-10 -7.973e-09
475 0 2.95e-10 8.01e-09
476 0 2.95e-10 -8.01e-09
477 0 1.48e-10 -2.232e-09
478 0 1.35e-10 8.029e-09
479 0 1.35e-10 -8.029e-09
480 0 3.4e-11 3.328e-09
481 0 3.48e-10 -8.115e-09
482 0 3.48e-10 8.115e-09
483 0 3.69e-10 -5.717e-09
484 0 7.1e-11 -1.487e-09
485 0 4.17e-10 8.111e-09
486 0 4.17e-10 -8.111e-09
487 0 8.4e-11 3.793e-09
488 0 8.4e-11 -5.321e-09
489 0 2.45e-10 -3.17e-10
490 0 5.45e-10 7.953e-09
491 0 4.73e-10 7.931e-09
492 0 5.45e-10 -7.953e-09
493 0 4.73e-10 -7.931e-09
494 0 4.1e-11 6e-11
495 0 5.9e-11 -7.36e-10
496 0 3.18e-10 -3.669e-09
497 0 3.25e-10 -6.463e-09
498 0 3.34e-10 4.41e-09
499 0 3.29e-10 5.951e-09
500 0 3.14e-10 6.47e-09
501 0 2.49e-10 3.691e-09
502 0 1.39e-10 -3.84e-10
503 0 1.551e-09 1.1711e-08
504 0 1.551e-09 -1.1711e-08
505 0 3.35e-10 -1.807e-09
506 0 3.7e-11 5.5e-10
507 0 3.5e-11 -1.025e-09
508 0 1.17e-10 4.67e-10
509 0 7.7e-11 -1.065e-09
510 0 4e-11 2.322e-09
511 0 4.1e-11 2.565e-09
512 0 2.63e-10 -7.41e-10
513 0 6.67e-10 8.013e-09
514 0 6.67e-10 -8.013e-09
515 0 6.29e-10 8.053e-09
516 0 6.29e-10 -8.053e-09
517 0 1.89e-10 -5.21e-09
518 0 1.95e-10 7.652e-09
519 0 1.95e-10 -7.652e-09
520 0 8.267e-09 -8.797e-09
521 0 8.267e-09 8.797e-09
522 0 2.8e-11 4.364e-09
523 0 2.8e-11 -6.412e-09
524 0 2.8e-11 -4.748e-09
525 0 2.8e-11 -4.236e-09
526 0 2.8e-11 -6.924e-09
527 0 2.8e-11 5.9e-09
528 0 2.8e-11 5.388e-09
529 0 2.8e-11 6.412e-09
530 0 2.8e-11 -3.212e-09
531 0 2.8e-11 4.876e-09
532 0 2.8e-11 6.924e-09
533 0 2.8e-11 -3.724e-09
534 0 2.93e-10 1.873e-09
535 0 2.56e-10 -7.645e-09
536 0 2.56e-10 7.645e-09
537 0 3.1e-10 -2.209e-09
538 0 2.97e-10 -2.101e-09
539 0 2.23e-09 1.1404e-08
540 0 2.231e-09 -1.1404e-08
541 0 1.44e-10 1.672e-09
542 0 1.61e-10 1.506e-09
543 0 1.8e-10 1.566e-09
544 0 8e-11 1.709e-09
545 0 2.9e-10 5.33e-10
546 0 1.35e-10 -1.496e-09
547 0 8e-11 1.767e-09
548 0 2.934e-09 9.997e-09
549 0 2.936e-09 -1.0001e-08
550 0 2.47e-10 -3.651e-09
551 0 2.56e-10 4.421e-09
552 0 2.56e-10 5.957e-09
553 0 2.46e-10 6.483e-09
554 0 2.51e-10 -6.475e-09
555 0 1.66e-10 -5.3e-10
556 0 2.4e-10 -5.524e-09
557 0 2.98e-10 -5.547e-09
558 0 5.646e-09 1.2344e-08
559 0 5.646e-09 -1.2344e-08
560 0 3.8e-11 -2.695e-09
561 0 3.48e-10 2.271e-09
562 0 1.39e-10 -1.614e-09
563 0 4.4e-11 3.855e-09
564 0 4.3e-11 -5.258e-09
565 0 3.5e-10 5.1e-10
566 0 2.75e-10 -2.162e-09
567 0 1.85e-10 -1.392e-09
568 0 1.85e-10 -1.455e-09
569 0 1.08e-10 3.232e-09
570 0 2.53e-10 7.52e-10
571 0 3.5e-10 3.443e-09
572 0 3.56e-10 3.501e-09
573 0 7.2e-11 -1.613e-09
574 0 6.053e-09 1.2982e-08
575 0 6.053e-09 -1.2982e-08
576 0 1.77e-10 2.389e-09
577 0 8.43e-10 -8.149e-09
578 0 8.43e-10 8.149e-09
579 0 2.953e-09 8.027e-09
580 0 2.952e-09 -8.032e-09
581 0 1.96e-10 1.69e-09
582 0 2.12e-10 1.753e-09
583 0 3.605e-09 1.0533e-08
584 0 3.607e-09 -1.0538e-08
585 0 2.9e-11 -1.919e-09
586 0 3.78e-10 -7.568e-09
587 0 3.78e-10 7.568e-09
588 0 2.42e-10 1.591e-09
589 0 7.65e-09 8.167e-09
590 0 7.756e-09 7.174e-09
591 0 7.756e-09 -7.174e-09
592 0 7.65e-09 -8.167e-09
593 0 2.09e-10 8.62e-10
594 0 4.01e-10 -9.39e-10
595 0 1.56e-10 8.28e-10
596 0 3.96e-10 -7.631e-09
597 0 3.96e-10 7.631e-09
598 0 7.7e-11 -2.75e-10
599 0 3.75e-10 -5.444e-09
