status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fp1 Fp0 Fbarevol0 Fbarevol1 Fbarevol2 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1 13.9852354617 4.62e-09 0.503083162056 -0.0155578918762 13.9863049483 48 4.38936660615e-05 -0.167758999104 -0.603110993975 -0.000526509421584 4.5e-11 -0.0354354780767 0.014314764246 0.571271326471 0.00490710148208 -0.755558408232 13.9852556219 -0.689186047266
1 17.8286253053 5.923e-09 -2.86314583857 0.0616784339707 17.8304326633 49 -0.000238264545137 0.000816342133293 -0.024019288847 0.000830312193801 3.488e-09 -0.000856789723598 -0.454711876597 -3.30829449448 -0.0121156658645 -0.185770743638 17.8287979079 -0.265960936193
1 12.0104154633 4.692e-09 1.65746489863 -0.0086042441512 12.0115106719 50 0.00037664446448 -0.119637543934 -0.439904922877 0.00150470745683 1.56e-10 0.0343766356421 -0.00808197655392 1.9935131166 0.0166250557372 -0.690594775069 12.0103494421 -0.577638819113
1 15.2679199717 -2.415e-09 3.11932759038 -0.00508427739537 15.2692507383 51 -0.000160313334922 -0.124964510885 -0.467195651099 0.00140117588287 2.73e-10 -0.008514200995 0.0261095092962 3.74027175853 0.00283528943757 -0.78319054416 15.2675440219 -0.621357769515
1 7.79973941901 -5.934e-09 3.4569173163 -0.0850006813104 7.80080067884 52 5.53426646798e-05 -0.0372668501521 -0.0439737214498 0.00193293497995 2.73e-10 0.00292151561963 0.133705596706 3.09243685775 0.023164816123 0.702970773074 7.79925799492 0.540730780502
1 14.5748814268 4.877e-09 3.81937469592 0.0332093283124 14.5754860477 53 0.000191049996178 -0.0626556811459 -0.165377876986 0.00250702842166 3.32e-10 -0.00115977209596 0.123471558878 3.5964268212 -0.0595792131426 -0.817390147005 14.5746770414 -0.618692067441
1 11.3690621892 5.929e-09 1.86947575663 0.0751536963374 11.3701086478 54 3.81366947954e-05 -0.103693768819 -0.402184682977 0.000410676683955 2.01e-10 0.0161130408386 0.0812339365649 2.40667397092 0.00679284634152 -1.54996901366 11.3692530783 -1.33619971162
1 8.90555435617 -9.988e-09 0.0482140602732 0.0476692290094 8.90692569996 55 -0.00010259943223 -0.000578435178963 0.00173317270768 -0.000537325933861 7.245e-09 0.000654017870222 -0.00169746076817 -0.00445348923836 0.0138959400087 0.00652800929505 8.90491417981 -0.209738607315
1 18.6796020906 9.988e-09 0.175709403117 -0.171112806673 18.6816769909 56 -0.000207857953808 0.00127642316082 0.0036193611625 0.000367174047413 7.243e-09 0.00519007998853 -0.00192555954877 -0.000916852490991 0.0258711552987 0.00790951325591 18.6798932468 -0.0424352162235
1 7.52769635274 6.798e-09 0.293243710525 0.00160761898389 7.52815744938 57 0.000418983078846 -0.111378760239 -0.524741409053 1.55044883082e-05 3.8e-11 -0.00968674948429 0.0177722678307 0.371109204152 0.000901668476301 -3.57766734058 7.51397783298 -3.21388542875
1 10.3004401797 1.17e-09 1.7930817472 0.00823885051152 10.7486863374 58 0.000181078103443 -0.135464106041 -0.468489106493 0.000878817259327 1.64e-10 -0.0183043857264 0.0879122397923 2.20820294898 0.00336964653025 -0.68994844345 10.6411647506 -0.644144911311
1 9.31756385087 -1.17e-09 1.87905204325 0.0484771457512 9.38109150949 59 -8.73381122584e-05 -0.121272836837 -0.372010512342 3.57746499881e-05 1.64e-10 -0.0148409317962 0.0641368423827 2.25223981512 -0.0018763664106 -0.359000223767 9.5244619244 -0.262752708183
1 8.66220523233 -4.32e-09 4.2747085226 -0.0153494933644 8.66311032258 60 0.000135375961872 -0.0420865864275 -0.089609246668 0.00252063470743 3.7e-10 0.00294627349691 0.138007845904 4.45295218216 0.044207894336 -0.0433542991055 8.66180975645 -0.0247211762847
